Game,Date,Location,Opponent,Result,Kings_Score,Opp_Score,W,L,Streak,SAC_Pace,SAC_eFG%,SAC_TOV%,SAC_ORB%,SAC_FT/FGA,SAC_ORtg,Opp_Pace,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT/FGA,Opp_ORtg
19,Sat Jan 30 2021,Away,Miami Heat,Loss,104,105,8,11,L 1,92.5,0.582,15.9,28.6,0.059,112.5,92.5,0.539,14.5,23.7,0.286,113.5
24,Tue Feb 9 2021,Home,Philadelphia 76ers,Loss,111,119,12,12,L 1,105.9,0.505,9.3,14.5,0.111,104.8,105.9,0.535,14.5,27.9,0.329,112.4
25,Fri Feb 12 2021,Home,Orlando Magic,Loss,112,123,12,13,L 2,99,0.59,16.5,20,0.169,113.1,99,0.588,9.1,22.7,0.176,124.2
26,Sun Feb 14 2021,Home,Memphis Grizzlies,Loss,110,124,12,14,L 3,101.5,0.549,14.6,12.8,0.244,108.4,101.5,0.58,8.9,24.3,0.16,122.2
27,Mon Feb 15 2021,Home,Brooklyn Nets,Loss,125,136,12,15,L 4,97.5,0.594,11.3,36.6,0.115,128.3,97.5,0.725,13.7,25.7,0.079,139.5
28,Thu Feb 18 2021,Home,Miami Heat,Loss,110,118,12,16,L 5,101.7,0.543,13,26,0.097,108.2,101.7,0.579,12.3,20.5,0.084,116
29,Sat Feb 20 2021,Away,Chicago Bulls,Loss,114,122,12,17,L 6,99.5,0.49,6.1,25,0.184,114.5,99.5,0.665,13.6,6.5,0.159,122.6
30,Sun Feb 21 2021,Away,Milwaukee Bucks,Loss,115,128,12,18,L 7,105.2,0.5,9.9,25,0.15,109.3,105.2,0.55,13.8,32.6,0.322,121.7
31,Tue Feb 23 2021,Away,Brooklyn Nets,Loss,118,127,12,19,L 8,100.8,0.603,13.6,13.9,0.149,117.1,100.8,0.59,7.2,23.3,0.247,126
32,Thu Feb 25 2021,Away,New York Knicks,Loss,121,140,12,20,L 9,103.5,0.565,13.9,19,0.294,116.9,103.5,0.695,14.3,25.7,0.218,135.3
34,Sun Feb 28 2021,Home,Charlotte Hornets,Loss,126,127,13,21,L 1,99.5,0.63,9.1,23.1,0.109,126.6,99.5,0.608,14.4,22.6,0.313,127.6
36,Thu Mar 4 2021,Away,Portland Trail Blazers,Loss,119,123,14,22,L 1,95.5,0.529,6,36,0.097,124.6,95.5,0.563,7.5,21.4,0.273,128.8
38,Sat Mar 13 2021,Away,Atlanta Hawks,Loss,106,121,15,23,L 1,91.3,0.474,10.3,40.7,0.133,116.1,91.3,0.583,7.5,34.2,0.274,132.5
39,Mon Mar 15 2021,Away,Charlotte Hornets,Loss,116,122,15,24,L 2,100.1,0.61,9.7,10,0.128,115.9,100.1,0.543,7.1,20,0.213,121.8
42,Sat Mar 20 2021,Away,Philadelphia 76ers,Loss,105,129,17,25,L 1,98.8,0.518,7.6,8.5,0.2,106.3,98.8,0.622,9.2,23.7,0.256,130.6
48,Wed Mar 31 2021,Away,San Antonio Spurs,Loss,106,120,22,26,L 1,99.5,0.484,10.7,21.6,0.185,106.5,99.5,0.522,8.5,30.4,0.261,120.6
49,Fri Apr 2 2021,Home,Los Angeles Lakers,Loss,94,115,22,27,L 2,100,0.482,13.2,12.5,0.141,94,100,0.566,14.6,28.9,0.132,115
50,Sat Apr 3 2021,Home,Milwaukee Bucks,Loss,128,129,22,28,L 3,101.4,0.581,10.3,25.5,0.131,126.3,101.4,0.597,11.3,30,0.194,127.3
51,Mon Apr 5 2021,Away,Minnesota Timberwolves,Loss,106,116,22,29,L 4,100.2,0.494,12.4,21.7,0.216,105.8,100.2,0.484,11.7,31.9,0.308,115.8
52,Thu Apr 8 2021,Home,Detroit Pistons,Loss,101,113,22,30,L 5,100.7,0.483,11,14.3,0.209,100.3,100.7,0.571,14.7,17.9,0.202,112.2
53,Sat Apr 10 2021,Away,Utah Jazz,Loss,112,128,22,31,L 6,100.9,0.557,9.3,8.9,0.159,111,100.9,0.557,8.8,24.4,0.341,126.8
54,Mon Apr 12 2021,Away,New Orleans Pelicans,Loss,110,117,22,32,L 7,105,0.489,8.6,16,0.244,104.7,105,0.584,18.2,25.7,0.351,111.4
55,Wed Apr 14 2021,Home,Washington Wizards,Loss,111,123,22,33,L 8,110.2,0.511,14.3,10.6,0.198,100.8,110.2,0.561,19.1,35.9,0.244,111.7
56,Thu Apr 15 2021,Away,Phoenix Suns,Loss,114,122,22,34,L 9,94,0.641,14.8,12.1,0.179,121.3,94,0.64,10.7,26.3,0.14,129.8
58,Tue Apr 20 2021,Home,Minnesota Timberwolves,Loss,120,134,23,35,L 1,100.7,0.546,8.8,25.5,0.144,119.2,100.7,0.667,15.5,31.6,0.156,133.1
60,Sun Apr 25 2021,Away,Golden State Warriors,Loss,113,117,24,36,L 1,98.2,0.558,9.5,14.3,0.198,115.1,98.2,0.558,13.6,35.4,0.116,119.2
62,Wed Apr 28 2021,Home,Utah Jazz,Loss,105,154,25,37,L 1,100.3,0.523,11.3,7.1,0.161,104.7,100.3,0.779,12,27.6,0.233,153.5
67,Fri May 7 2021,Home,San Antonio Spurs,Loss,104,113,29,38,L 1,101.3,0.565,15,9.8,0.107,102.6,101.3,0.539,11.8,18.4,0.191,111.5
70,Thu May 13 2021,Away,Memphis Grizzlies,Loss,110,116,31,39,L 1,97.2,0.526,8.9,26.5,0.094,113.1,97.2,0.561,15.5,35.3,0.167,119.3
71,Fri May 14 2021,Away,Memphis Grizzlies,Loss,106,107,31,40,L 2,101.3,0.438,8.5,25.9,0.229,104.7,101.3,0.506,11.6,17.6,0.262,105.6
72,Sun May 16 2021,Home,Utah Jazz,Loss,99,121,31,41,L 3,101.2,0.517,11.3,10.9,0.067,97.9,101.2,0.581,14.2,20.9,0.244,119.6
1,Wed Dec 23 2020,Away,Denver Nuggets,Win,124,122,1,0,W 1,99.1,0.49,10.8,33.3,0.235,113.3,99.1,0.52,12.1,21.7,0.204,111.5
2,Sat Dec 26 2020,Home,Phoenix Suns,Win,106,103,2,0,W 2,101.3,0.483,15.2,33.3,0.267,104.6,101.3,0.474,9.6,19.6,0.102,101.6
4,Tue Dec 29 2020,Home,Denver Nuggets,Win,125,115,3,1,W 1,99.1,0.574,8.8,27.3,0.181,126.2,99.1,0.611,17.5,21.9,0.198,116.1
8,Wed Jan 6 2021,Home,Chicago Bulls,Win,128,124,4,4,W 1,98.3,0.593,6.4,26.7,0.22,130.3,98.3,0.602,12.3,27,0.129,126.2
11,Mon Jan 11 2021,Home,Indiana Pacers,Win,127,122,5,6,W 1,103.9,0.649,16.1,20.6,0.214,122.2,103.9,0.552,10.3,21.3,0.155,117.4
16,Fri Jan 22 2021,Home,New York Knicks,Win,103,94,6,10,W 1,95.4,0.484,5.6,22.6,0.165,108,95.4,0.41,9.5,27.1,0.181,98.6
17,Wed Jan 27 2021,Away,Orlando Magic,Win,121,107,7,10,W 2,98,0.565,12.7,36.2,0.185,123.4,98,0.469,11.9,34,0.177,109.2
18,Fri Jan 29 2021,Away,Toronto Raptors,Win,126,124,8,10,W 3,100,0.654,19.4,32.4,0.308,126,100,0.564,13,30.8,0.314,124
20,Mon Feb 1 2021,Away,New Orleans Pelicans,Win,118,109,9,11,W 1,102,0.557,16.7,31,0.227,115.7,102,0.441,8.2,30.4,0.198,106.9
21,Wed Feb 3 2021,Home,Boston Celtics,Win,116,111,10,11,W 2,97.5,0.527,8.9,26.1,0.207,119,97.5,0.517,11.6,25.6,0.256,113.9
22,Sat Feb 6 2021,Home,Denver Nuggets,Win,119,114,11,11,W 3,96.4,0.56,6.4,22.7,0.187,123.5,96.4,0.531,8,27.1,0.113,118.3
23,Sun Feb 7 2021,Away,Los Angeles Clippers,Win,113,110,12,11,W 4,100,0.543,10.7,22.9,0.117,113,100,0.455,7.6,28.1,0.202,110
33,Fri Feb 26 2021,Away,Detroit Pistons,Win,110,107,13,20,W 1,97.3,0.455,8.5,28.6,0.326,113.1,97.3,0.524,10.3,22.2,0.256,110
35,Wed Mar 3 2021,Home,Los Angeles Lakers,Win,123,120,14,21,W 1,92.8,0.675,12.8,18.8,0.188,132.5,92.8,0.591,10,38.5,0.108,129.3
37,Thu Mar 11 2021,Home,Houston Rockets,Win,125,105,15,22,W 1,106.6,0.549,10.3,19,0.261,117.3,106.6,0.47,10.9,18.2,0.121,98.5
40,Wed Mar 17 2021,Away,Washington Wizards,Win,121,119,16,24,W 1,108,0.495,6.9,12.5,0.312,112,108,0.511,12.4,23.8,0.245,110.2
41,Fri Mar 19 2021,Away,Boston Celtics,Win,107,96,17,24,W 2,93.5,0.531,13.2,25,0.259,114.5,93.5,0.495,13,26.1,0.066,102.7
43,Mon Mar 22 2021,Away,Cleveland Cavaliers,Win,119,105,18,25,W 1,100.4,0.617,14.4,25.6,0.089,118.6,100.4,0.448,7,20.4,0.198,104.6
44,Wed Mar 24 2021,Home,Atlanta Hawks,Win,110,108,19,25,W 2,95.1,0.536,14.6,27.9,0.238,115.6,95.1,0.524,12,26.8,0.224,113.5
45,Thu Mar 25 2021,Home,Golden State Warriors,Win,141,119,20,25,W 3,97,0.702,5.8,13.9,0.18,145.4,97,0.608,11.4,17.5,0.136,122.7
46,Sat Mar 27 2021,Home,Cleveland Cavaliers,Win,100,98,21,25,W 4,93.8,0.556,17.3,19.4,0.138,106.6,93.8,0.494,6.9,15.9,0.179,104.4
47,Mon Mar 29 2021,Away,San Antonio Spurs,Win,132,115,22,25,W 5,95.8,0.667,5.9,12.1,0.238,137.7,95.8,0.559,10,26.7,0.118,120
57,Sun Apr 18 2021,Away,Dallas Mavericks,Win,121,107,23,34,W 1,95.2,0.556,5.7,23.8,0.247,127.2,95.2,0.54,12.8,23.8,0.149,112.4
59,Wed Apr 21 2021,Home,Minnesota Timberwolves,Win,128,125,24,35,W 1,100.7,0.546,8.8,25.5,0.144,119.2,100.7,0.667,15.5,31.6,0.156,133.1
61,Mon Apr 26 2021,Home,Dallas Mavericks,Win,113,106,25,36,W 1,92.2,0.599,15.2,29.7,0.198,122.6,92.2,0.533,9.2,28.6,0.087,115
63,Fri Apr 30 2021,Away,Los Angeles Lakers,Win,110,106,26,37,W 1,99.1,0.523,15.1,25.6,0.233,110.9,99.1,0.548,18.5,29.7,0.181,106.9
64,Sun May 2 2021,Away,Dallas Mavericks,Win,111,99,27,37,W 2,95.9,0.623,17.8,22.9,0.123,115.8,95.9,0.457,14.5,30.2,0.309,103.2
65,Tue May 4 2021,Away,Oklahoma City Thunder,Win,103,99,28,37,W 3,99.6,0.474,10.5,18.4,0.137,103.4,99.6,0.413,7.6,29.8,0.184,99.4
66,Wed May 5 2021,Away,Indiana Pacers,Win,104,93,29,37,W 4,99.6,0.495,9.8,24,0.105,104.5,99.6,0.488,19.6,21.7,0.145,93.4
68,Sun May 9 2021,Home,Oklahoma City Thunder,Win,126,98,30,38,W 1,99.9,0.624,12.8,24.3,0.235,126.1,99.9,0.454,12.3,19.2,0.218,98.1
69,Tue May 11 2021,Home,Oklahoma City Thunder,Win,122,106,31,38,W 2,102.7,0.622,13.7,14.3,0.174,118.8,102.7,0.518,15.7,20.9,0.226,103.3
